year_start,name,name_unified,corrected_id,corrected_label,born,source,link_notes,other_notes
1700,jamesstuart_1,"STUART, James",,,Scotland,Y,ESTC says 'James Stuart of Glasgow',
1700,95145542611696641723,"Symson, Andrew",,,Scotland,Y,Probably related to https://www.jstor.org/stable/pdf/25518868.pdf,
1700,mandreaesymson_0,"SYMSON, M.",95145542611696641723,,Scotland,Y,,
1700,gultaylor_0,"TAYLOR, Gul.",1565494,,England,N,,
1700,1565494,"Taylor, W.",,,England,N,,
1700,330654,"Tonson, Jacob",,,England,Y,,
1700,100328493,"Tooke, Benjamin",,,England,Y,https://www.dib.ie/biography/tooke-benjamin-a8594,
1700,bbti_107725,"TOOKE, Benjamin",100328493,,England,Y,,
1700,bbti_71500,"VARNAM, Thomas",,,England,N,,
1700,bbti_72157,"WALE, Jeffrey",,,England,N,,
1700,bbti_107857,"WALFORD, Benjamin",,,England,N,,
1700,jacobuswatson_0,"WATSON, Jacobus",,,England,N,,
1700,54200258,"Watson, James",,,England,N,,
1700,22019654,"Wilford, J.",,,England,N,,
1700,bbti_77601,"WOOD, Thomas",,,England,N,,
1700,bbti_78573,"WYAT, John",,,England,N,,
1700,johnreidyounger_0,"YOUNGER, John",,"Reid, John (Younger)",Scotland,Y,Ed. Hist of the Book in Scotland,
1720,76165466,"Akenhead, R.",,"Akenhead, Robert",England,N,,
1720,bbti_4474,"BASKET, Robert",,,England,N,,
1720,54199802,"Baskett, Thomas",,,England,N,,
1720,14847469,"Baxter, Andrew, 1686?-1750.",,,Scotland,Y,,
1720,228701119,"Bettenham, J.",,"Bettenham, Jacob",England,N,,
1720,36768263,"Bettesworth, A.",,"Bettesworth, Arthur",England,N,FIL to Charles Hitch,
1720,bbti_7137,"BLAND, R",,,England,N,,
1720,52045161,"Boyse, Samuel, 1708-1749.",,,Ireland,Y,https://en.wikipedia.org/wiki/Samuel_Boyse,
1720,williambrown_0,"BROWN, William",,,England,N,,
1720,5259928,"Cave, E.",,"Cave, Edward",England,N,,
1720,bbti_13032,"CHANDLER, John",,,England,N,,
1720,bbti_13039,"CHANDLER, Samuel",,,England,N,,
1720,bbti_13923,"CLARK, John",263788498,,England,N,,
1720,263788498,"Clarke, J.",,,England,N,,
1720,46380101,"Cock, Henry",,,England,N,,
1720,bbti_124006,"COGAN, Francis",,,England,Y,http://edmondhoyle.blogspot.com/2011/09/biographical-notes-on-francis-cogan.html,
1720,9741821,"Cooper, M.",,"Cooper, Mary",England,Y,https://en.wikipedia.org/wiki/Mary_Cooper_(publisher),
1720,tcooper_0,"COOPER, T.",,"Cooper, Thomas",England,N,,
1720,bbti_116081,"COX, Thomas",,,England,N,,
1720,bbti_17228,"CRITCHLEY, J",,,England,N,,
1720,bbti_18284,"DAMPIER, J",,,?,,,
1720,alexanderdavidson_0,"DAVIDSON, Alexander",,,Scotland,Y,https://www.jstor.org/stable/40371260,
1720,bbti_110934,"DAVIDSON, Joseph",,,England,N,,
1720,mrjamesdavidson_0,"DAVIDSON, Mr",,"Davidson, James",Scotland,Y,ESTC,
1720,68786630,"Davis, C.",,"David, Charles",England,N,,
1720,71283786,"Dodd, A.",,"Dodd, Anne II",England,Y,https://en.wikipedia.org/wiki/Anne_Dodd,
1720,rdodsley_0,"DODSLEY, R.",,"Dodsley, Robert",England,Y,,
1720,aduning_0,"DUNING, A.",,"Duning, Alexander",Scotland,Y,https://www.jstor.org/stable/40371260,
1720,bbti_23811,"FAYRAM, Francis",,,England,N,,
1720,robertfleming_0,"FLEMING, R.",,"Fleming, Robert",Scotland,N,,
1720,printedbyrobertfreebairn_0,"FREEBAIRN, Printedby",,,Scotland,Y,,
1720,NV13316,"Gordon, William, active 18th century.",,,Scotland,N,,
1720,bbti_28405,"GRAY, John",,,England,N,,
1720,bbti_28656,"GREEN, Thomas",,,England,N,,
1720,fletchergyles_0,"GYLES, Fletcher",bbti_29546,,England,N,,
1720,bbti_29546,"GYLES, Fletcher",,,England,N,,
1720,16820019,"Haberkorn, J.",,,England,N,,
1720,wilhamilton_0,"HAMILTON, Hamilton",,"Hamilton, William",Scotland,N,,
1720,ghawkins_0,"HAWKINS, G.",,,England,N,,
1720,222770681,"Hett, R.",,"Hett, Richard",England,N,,
1720,bbti_109575,"HITCH, Charles",,,England,N,,
1720,jhodges_0,"HODGES, J.",,,England,N,,
1720,bbti_35731,"HUGGONSON, J",,,England,N,,
1720,155189840,"Jefferies, F.",,"Jefferies, Francis",England,Y,BBTI,
1720,39241855,"Kincaid, Alexander, 1710 or 1711-1777.",,,Scotland,Y,,
1720,bbti_43637,"LONGMAN, J",,,England,Y,,
1720,mrthomaslongman_0,"LONGMAN, Mr",,,England,Y,,
1720,bbti_44618,"MAC-EVEN, James",,,Scotland,Y,,
1720,39493695,"Mair, John, 1702 or 1703-1769.",,,Scotland,Y,,
1720,32343772,"Malcolm, Alexander, 1685-1763.",,,Scotland,Y,,
1720,bbti_47231,"MILLAN, John",,,England,N,,
1720,15008766,"Millar, A.",,"Millar, Andrew",Scotland,Y,,
1720,mrwilliammonro_0,"MONRO, Mr",williammonro_0,"Monro, William",Scotland,Y,ESTC,
1720,williammonro_0,"MONRO, William",,"Monro, William",Scotland,Y,ESTC,
1720,johnmosman_0,"MOSMAN, John",,,Scotland,Y,,
1720,mrjames_0,Mr James,bbti_44618,,Scotland,Y,,
