Id,membership,Label,which_city,name
1,0,"Morphew, J.",London,17097029
2,0,"Tonson, Jacob",London,330654
3,4,"Reid, John",Edinburgh,44195902
4,4,"Moncur, John",Edinburgh,54025507
5,0,"Watson, James",Edinburgh,54200258
6,7,"Mosman, George",Edinburgh,68826401
7,1,"Ramsay, Allan, 1685-1758.",Edinburgh,77108557
8,3,"Symson, Andrew",Edinburgh,95145542611696641723
9,4,"BALDWIN, A.",Edinburgh,abaldwin_1
10,3,Regis Andreæ Anderson,Edinburgh,andreandersonregis_0
11,0,"KEBLE, Samuel",London,bbti_106556
12,0,Jackson Charles,Edinburgh,charlesjacksonmerchant_0
13,5,"SCOT, David",Edinburgh,davidscot_0
14,6,"COLSTON, John",Edinburgh,johncolston_0
15,3,"VALLANGE, John",Edinburgh,johnvallange_0
16,3,Freebairn David,Edinburgh,mrdavidfreebairn_0
17,3,Knox Henry,Edinburgh,mrhenryknox_0
18,5,"M'EUEN, Mr",Edinburgh,mrjamesmewen_0
19,0,"SARE, Richard",Edinburgh,richardsare_0
20,6,"BROWN, Robert",Edinburgh,robertbrown_0
21,1,Freebairn Robert,Edinburgh,robertfreebairn_0
22,5,"DICKIE, William",Edinburgh,williamdickie_1
23,8,"GRANT, William",Edinburgh,williamgrant_0
24,0,"Hills, H.",London,255661736
25,4,"Roberts, J.",London,228716377
26,0,"Newcomb, Thomas",London,12361109
27,0,"Wilford, J.",London,22019654
28,0,"Baskett, John",London,30718937
29,0,Baldwin Anne,London,36972115
30,0,"HILL, Henry",London,bbti_33480
31,0,"BOLTON, S",London,bbti_7523
32,7,"SAUNDERS, N.",London,nsaunders_0
33,1,Curll Edmund,London,73995150
34,3,Downing John,London,51926513
35,3,"Strahan, G.",London,71442890
36,5,"Clarke, J.",London,263788498
37,6,"Clements, Henry",London,44350961
38,6,"PARKER, Henry",London,bbti_114516
39,1,Millar Andrew,London,15008766
40,1,"Taylor, W.",London,1565494
41,2,Innys William,Edinburgh,27299050
42,1,"BROWNE, Daniel II",London,bbti_10233
43,1,"PALMER, Samuel",London,bbti_105269
44,1,"BURLEIGH, Rebecca",London,bbti_11071
45,1,"COGAN, Francis",London,bbti_124006
46,1,"CHAPMAN, Samuel",London,bbti_13169
47,1,"CHETWOOD, William Rufus",London,bbti_13502
48,1,"HUGGONSON, J",London,bbti_35731
49,1,"PEMBERTON, John",Edinburgh,bbti_53584
50,8,"Smith, Richard",London,24654312
